Date,Open,High,Low,Close,Volume
2025-03-31,100.46,102.81,95.57,101.47,0
2025-06-30,100.1,108.71,95.78,107.13,0
2025-09-30,105.25,144.09,102.71,134.23,0
2025-12-31,136.28,244.37,136.28,173.02,0
2026-03-31,170.29,209.14,158.97,195.75,0
2026-06-30,195.44,214.46,170.81,210.69,0
2026-09-30,208.35,208.66,188.3,202.07,0
